,"Q34_Are you doing other things at home to learn, aside from radio lessons?",Q35_What are you doing?
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,,
1202,,
1203,,
1204,,
1205,,
1206,,
1207,No,
1208,,
1209,Yes,Reading some books
1210,,
1211,Yes,I do some revisions
1212,Yes,Revise my lessons
1213,,
1214,,
1215,,
1216,Yes,Reading
1217,Yes,White for
1218,No,
1219,No,
1220,,
1221,,
1222,,
1223,,
1224,,
1225,,
1226,,
1227,No,
1228,No,
1229,,
1230,,
1231,No,
1232,No,
1233,,
1234,,
1235,,
1236,,
1237,Yes,Pleating and cooking
1238,No,
1239,,
1240,Yes,Cleaning and other women's activities 
1241,No,
1242,Yes,Self reading
1243,Yes,When are you going to bring feedback on the questions
1244,No,
1245,Yes,I do read lonely
1246,,
1247,No,
1248,,
1249,Yes,Reading alone
1250,No,
1251,No,
1252,No,
1253,No,
1254,,
1255,,
1256,,
1257,,
1258,Yes,Reading personally at home
1259,,
1260,,
1261,Yes,Revision of the previous lessons
1262,,
1263,,
1264,,
1265,Yes,Reading the books
1266,,
1267,Yes,Revision
1268,Yes,Revising previous lessions
1269,,
1270,,
1271,Yes,"Revision, research and doing homework"
1272,Yes,Discuss in group and learning home work
1273,Yes,"Read,fetch water,and cook at home"
1274,Yes,Look after cattle and sometimes read my books
1275,Yes,"Read,wash my clothes and look after cattle"
1276,Yes,Read and wash my clothes
1277,Yes,"Read,fetch water and collect firewood"
1278,Yes,"Fetch water, collect firewood,help my parents with housework and read my books"
1279,Yes,Fetch water and read my books
1280,Yes,Read my books and help my parents with housework
1281,Yes,Read my books and cook
1282,Yes,Read my books
1283,,
1284,Yes,Cooking 
1285,,
1286,Yes,Doing house activities 
1287,No,
1288,No,
1289,No,
1290,No,
1291,No,
1292,No,
1293,No,
1294,No,
1295,No,
1296,Yes,homework 
1297,No,
1298,No,
1299,Yes,"I  some time ,  revised my  old     notes  exercises.  at  home. but  I never, listening, to radio lessons one day."
1300,No,
1301,No,
1302,No,
1303,,
1304,Yes,Reading 
1305,Yes,House work
1306,Yes,Cooking
1307,No,
1308,No,
1309,No,
1310,No,
1311,Yes,Reading writing book
1312,No,
1313,No,
1314,No,
1315,Yes,Cultivation
1316,Yes,Domestic work
1317,Yes,Weeding
1318,No,
1319,Yes,Domestic work
1320,,
1321,,
1322,,
1323,,
1324,,
1325,,
1326,,
1327,,
1328,,
1329,,
1330,No,
1331,,
1332,,
1333,,
1334,No,
1335,No,
1336,No,
1337,,
1338,No,
1339,No,
1340,No,
1341,,
1342,No,
1343,,
1344,No,
1345,,
1346,No,
1347,,
1348,,
1349,Yes,Reading books
1350,No,
1351,,
1352,,
1353,Yes,Looking after goats
1354,Yes,Cooking for the family and harvesting garoundnut
1355,,
1356,,
1357,No,
1358,,
1359,Yes,Caltivation and looking after cattles plus goats
1360,Yes,"Caltivation ,harvesting and groundnut"
